logA n_s H0 omega_b omega_cdm m_ncdm w0_fld Omega_EDE tau_reio
3.088609458770255944e+00 9.458890706887983502e-01 7.390922603910941291e+01 2.200187793154413651e-02 1.259445462877510358e-01 8.466639146559358162e-03 -8.665555523077124178e-01 1.873172597327157560e-02 2.318424891811735750e-02
2.881076409137165673e+00 9.945169663191645304e-01 6.981378831300237664e+01 2.214197238363726020e-02 1.151738762176960085e-01 8.663805400259051714e-02 -7.407145172652134235e-01 3.689763566569581599e-02 2.631024816145698109e-02
3.167082798155970824e+00 9.640775565452143203e-01 7.440425103778878224e+01 2.220097113550721299e-02 1.276328519839618758e-01 9.424037310370106391e-02 -8.573978182887835864e-01 5.625172427370628281e-02 5.052644288435505227e-02
2.840553252961810937e+00 9.640596975503988864e-01 7.417677897738938952e+01 2.258250063321815687e-02 1.242265230226901329e-01 9.945852737060212334e-02 -8.400139807237760881e-01 6.537363021075658087e-02 5.520489479471082234e-02
2.877301303022337997e+00 9.678792685397331619e-01 7.391266172221898501e+01 2.223465958482909524e-02 1.241216272174091306e-01 9.202219973358505278e-02 -8.629178993627766303e-01 4.181457729791390049e-02 6.346845347208479593e-02
3.162776639020693281e+00 9.317726337967886518e-01 7.197517269974240151e+01 2.226997980340911926e-02 1.174508465342528618e-01 8.633027354028402489e-02 -8.258463238813622542e-01 5.816275466829662691e-03 1.312793028582230279e-02
2.842625297048932076e+00 9.078426279362792339e-01 7.336118627348857046e+01 2.237794284862471353e-02 1.292980658533897098e-01 5.139454167623103142e-02 -8.401466505576142829e-01 2.860194518223456439e-02 4.922236036445324509e-02
3.178709127945640311e+00 9.708815830922712387e-01 7.240348756041998968e+01 2.212697436989292596e-02 1.199654927778305569e-01 3.203450716000177945e-02 -8.434498951397149114e-01 2.078525974898593181e-03 7.926851700155407299e-02
2.996696854123354292e+00 9.104076186487386479e-01 7.456986348858296765e+01 2.213835791156679514e-02 1.299090230355441355e-01 2.127293332805145487e-02 -8.931958266213708697e-01 3.281572328697242302e-02 3.150381654881283938e-02
2.898951364891983573e+00 9.074215406411254570e-01 7.413527666796883864e+01 2.254240857173364296e-02 1.173921036947800922e-01 1.884589750131187777e-02 -8.251492281866925627e-01 8.322797735023138022e-02 6.691644478523181561e-02
3.165362071776036679e+00 9.148961075364266948e-01 7.121037587054760820e+01 2.227607241568687821e-02 1.134994998091547053e-01 9.113630827583940608e-02 -7.858314662124112893e-01 5.217176793392409861e-02 7.253844352436197851e-02
2.848176527071736519e+00 9.157402974623554126e-01 7.326044754218037269e+01 2.235238841894617370e-02 1.143196944309148588e-01 9.168377627940949015e-02 -8.546230104250596149e-01 6.747385086730774140e-02 5.556320727982031610e-02
3.186800588858984984e+00 9.846059726613665131e-01 7.339089750831944059e+01 2.229969206354673675e-02 1.212203836300662085e-01 4.038832631095103098e-02 -8.061761642756848367e-01 8.154755214096182092e-02 5.769485147192855018e-02
2.825129403636352343e+00 9.428041169475567251e-01 7.464368112344617145e+01 2.229084085559632569e-02 1.246626795067903026e-01 1.408489524309656377e-02 -8.651755529523250665e-01 6.240535604617258869e-02 5.127735029186578086e-02
2.969434494969252825e+00 9.390981864786200894e-01 7.715733192532229623e+01 2.200996743870071645e-02 1.293847618511193009e-01 5.191075460948536141e-03 -9.486848808740868666e-01 6.878835950240462516e-02 1.537964417936838260e-02
2.904003095050328387e+00 9.156498476853478508e-01 7.268967822205665641e+01 2.226185424291973053e-02 1.280945879116308361e-01 2.146299379235633992e-02 -8.498965502824258333e-01 5.895277580077563223e-03 6.119377944374915224e-02
3.066449270778054625e+00 9.593183934192959228e-01 7.106054547795007181e+01 2.240305446574942724e-02 1.254072662633736179e-01 5.440237200441949694e-02 -8.041983947028561452e-01 6.725990474439892100e-05 6.057329413921922617e-02
2.989535129175788786e+00 9.868897053127800856e-01 7.269406076569687514e+01 2.236399563172005930e-02 1.210873906438214853e-01 5.974643793813275844e-02 -8.145780329544725085e-01 4.055248670102882397e-02 2.368669395354639634e-02
