# logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio weight loglikelihood
2.42075227e+00 1.01573332e+00 3.12760883e+01 6.30996597e-02 4.58187551e-01 1.89588917e+00 -4.04487921e-01 -3.90275546e-01 7.12525451e-01 0.00000000e+00 -1.00000000e+300
3.88561714e+00 1.14750264e+00 5.65258865e+01 3.75587561e-02 3.46038833e-01 5.54311758e-01 -1.56650052e+00 1.50626669e+00 4.37965622e-01 0.00000000e+00 -1.00000000e+300
1.88666028e+00 1.03666129e+00 2.13685407e+01 8.61983989e-02 2.45341211e-01 8.94917232e-01 -1.30157654e-01 -1.57273964e+00 7.63095727e-01 0.00000000e+00 -1.00000000e+300
1.90494300e+00 9.96973900e-01 3.80468382e+01 2.22014710e-02 1.76512212e-01 1.45359549e+00 -6.98879443e-01 7.75766857e-02 6.42674954e-01 0.00000000e+00 -1.00000000e+300
2.68281574e+00 8.35859423e-01 4.82808024e+01 4.74887104e-02 9.69842359e-01 1.60612727e+00 -1.43874541e+00 1.11021606e+00 3.10212987e-01 0.00000000e+00 -1.00000000e+300
1.80953466e+00 1.10811803e+00 3.69101061e+01 6.14059326e-02 6.30402403e-01 8.80150987e-01 -1.64176876e+00 7.79286307e-01 3.51003400e-01 0.00000000e+00 -1.00000000e+300
3.69458411e+00 1.04932083e+00 7.21364508e+01 8.46648046e-02 8.09972152e-01 8.57303799e-01 -1.28750906e+00 3.07100765e-01 7.52240150e-01 0.00000000e+00 -1.00000000e+300
1.63503892e+00 9.97314329e-01 7.56544388e+01 9.20526253e-02 1.33439942e-02 1.11595952e-01 -2.97776870e-01 -1.37066238e+00 3.46630779e-01 0.00000000e+00 -1.00000000e+300
2.39440118e+00 8.64122763e-01 8.42074705e+01 3.92619512e-02 2.85611478e-02 5.72221354e-01 -1.60671456e+00 1.77832090e+00 1.14791981e-01 0.00000000e+00 -1.00000000e+300
2.00483801e+00 1.16547213e+00 3.49961286e+01 7.74269840e-02 3.62778678e-01 7.10802180e-01 -1.21720645e+00 1.70221789e+00 5.68979666e-01 0.00000000e+00 -1.00000000e+300
2.26949982e+00 1.03288826e+00 7.44950842e+01 4.61700409e-02 6.89733558e-03 2.60084218e-01 -2.51134781e-01 1.33086933e+00 4.15728422e-01 0.00000000e+00 -1.00000000e+300
2.98084354e+00 9.76067999e-01 9.70131586e+01 3.59742885e-02 4.06613938e-01 1.42950920e+00 -1.97081203e+00 1.40353085e+00 3.66142227e-01 0.00000000e+00 -1.00000000e+300
1.97857167e+00 1.10001755e+00 2.75587226e+01 5.43017597e-02 8.96206932e-01 1.92656431e+00 -1.08386891e-01 1.22261090e+00 6.88279389e-02 0.00000000e+00 -1.00000000e+300
