# logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio
1.75012924e+00 8.94748984e-01 7.40585900e+01 2.84932410e-02 9.07905166e-02 1.77457377e+00 -7.86470919e-01 -4.54291971e-01 6.50273381e-01
2.12573923e+00 8.44095982e-01 7.36591045e+01 2.88141561e-02 9.67916200e-02 1.85687453e+00 -4.38199306e-01 -1.94734815e+00 4.24466585e-01
1.76665584e+00 1.08756594e+00 7.70573293e+01 3.15817645e-02 1.00278782e-01 1.86437114e+00 -7.25529014e-01 -7.40294324e-01 6.14760604e-01
2.72623640e+00 1.05026018e+00 7.57003014e+01 2.71249362e-02 1.46837275e-01 8.14472406e-01 -5.20954207e-01 -1.75342599e+00 4.54955366e-01
3.53687293e+00 1.03519917e+00 7.15323491e+01 3.21660631e-02 3.32660191e-02 1.79241993e+00 -1.00798946e+00 8.26130592e-01 5.36702484e-01
1.88682825e+00 9.84382747e-01 6.74098152e+01 1.83151973e-02 7.84593596e-02 1.28218716e+00 -8.77204056e-01 -2.78195638e-01 5.00085055e-01
3.02736288e+00 1.18486427e+00 6.85802707e+01 2.51634594e-02 8.82011019e-02 1.60389873e+00 -3.82239604e-01 -1.76237960e+00 5.39020238e-01
3.68183536e+00 9.52378074e-01 8.28728177e+01 3.24884941e-02 1.69982614e-01 6.10477583e-01 -8.56579921e-01 -4.01214296e-01 1.02701217e-02
3.72766432e+00 9.90432857e-01 6.13939375e+01 1.02448844e-02 1.15386536e-01 2.46951476e-01 -4.29169084e-01 -1.92761969e+00 1.73831322e-01
3.08086557e+00 8.03872906e-01 7.32344507e+01 2.41957182e-02 1.60153605e-01 3.06232683e-01 -3.64045512e-01 -1.97288600e+00 1.26080400e-01
3.19271152e+00 9.22768497e-01 7.68747944e+01 2.66372102e-02 1.44134558e-01 7.27927022e-01 -8.38865022e-01 -6.86103740e-01 4.08811658e-01
2.63926022e+00 1.16499960e+00 7.67166835e+01 3.11499784e-02 1.15029303e-01 1.06928768e+00 -8.79282714e-01 2.80733254e-02 3.69242553e-01
