logA n_s H0 omega_b omega_cdm m_ncdm w0_fld Omega_EDE tau_reio
3.064283081005177323e+00 9.342585492559707383e-01 7.639510064900177611e+01 2.258291669542845936e-02 1.256067023505279823e-01 8.625118081313309926e-02 -8.854009850781499047e-01 9.683998579348168656e-02 1.628615281164058626e-02
2.930406588604103746e+00 9.005370480214089923e-01 7.450827409155627379e+01 2.203776877104272197e-02 1.295075691762258008e-01 4.951832734187730511e-02 -8.947633710455393796e-01 1.701355610795071346e-02 5.201779762289648890e-02
2.963588385235975675e+00 9.943276497365605149e-01 7.671729802020928446e+01 2.240359400881447582e-02 1.220522944503316942e-01 8.033522453358300092e-03 -8.865371129055754640e-01 9.036965798429015539e-02 6.056523440845424516e-02
3.166958805679621403e+00 9.280886006676094535e-01 7.409336997524295043e+01 2.204399453473822670e-02 1.254005063929335140e-01 8.402138262442988836e-02 -8.726065776189426693e-01 5.052710178267945385e-02 4.451980384780569733e-02
3.109283761110167355e+00 9.709138245606213635e-01 7.410949639054440752e+01 2.229941758891494652e-02 1.202941100047836970e-01 5.161612984082110389e-02 -8.607248214991476409e-01 5.905050346198129768e-02 4.729704684839902695e-02
2.953591981596327631e+00 9.364983223950045232e-01 7.420910235133310096e+01 2.251718930563872609e-02 1.291607487947045163e-01 5.259345238087669711e-02 -8.618588754496738780e-01 3.109306733896976052e-02 7.118597417482512568e-02
2.913995017393650855e+00 9.049984025247037600e-01 7.516711333590068023e+01 2.230941033845886684e-02 1.281914477165784771e-01 4.115340933896627883e-03 -8.315671546665717173e-01 9.473740121961669869e-02 7.119202155503406848e-02
3.024000918496055235e+00 9.863165178715406212e-01 7.611786117853901601e+01 2.252163136845103733e-02 1.281108993290872577e-01 7.442140443553110774e-02 -8.876102171252573392e-01 7.349299682935472866e-02 5.849670945935679656e-02
2.877053416574784528e+00 9.606085175605327819e-01 7.488573617656771830e+01 2.245609966459974349e-02 1.268392328786421830e-01 6.535864797511511948e-02 -8.461531374047972509e-01 6.871432153757460470e-02 7.460108644950658174e-02
3.047995479767532157e+00 9.812595718616909934e-01 7.440554551201260836e+01 2.204956305155241283e-02 1.267559172691843372e-01 6.710217243142228838e-02 -8.862872903713949757e-01 3.319648732604230101e-02 1.038331763157708532e-02
3.128200204146626362e+00 9.255109695189950303e-01 7.522305136642599166e+01 2.223133808852309143e-02 1.193338043291216621e-01 3.768326592452525547e-02 -8.610372236975536442e-01 7.993007869138024635e-02 2.246609558604204665e-02
3.083671602656539612e+00 9.119226930810455656e-01 7.549371147674428073e+01 2.248777186110946166e-02 1.220375273239064362e-01 8.256814200726686481e-02 -8.467584379902182157e-01 9.968837157745585875e-02 4.652973808422622426e-02
2.980134377687717162e+00 9.374673395394718112e-01 7.511406703397236129e+01 2.212949369812146350e-02 1.232821227091393801e-01 9.374324825482784063e-02 -8.743226062783313601e-01 7.809569810709103554e-02 4.283233673781410705e-02
3.141135919481072847e+00 9.853095639439031217e-01 7.439891672655926413e+01 2.200886818865557121e-02 1.273889089178800726e-01 8.802864197568065208e-02 -8.731395498723597548e-01 4.501272516512623556e-02 1.668622330459305567e-02
2.998901206643789674e+00 9.545844360178624699e-01 7.567703338329532414e+01 2.232103167662762011e-02 1.293706095340731999e-01 9.563339713991320101e-02 -8.740832448679503042e-01 8.921918733273886959e-02 1.581633350233184812e-02
3.144959493699758468e+00 9.565808252700247483e-01 7.399850021499381114e+01 2.230352874582525180e-02 1.299638992112388258e-01 4.287645164528195579e-02 -8.809146394937696911e-01 9.360918352427921238e-03 2.645440617304183062e-02
3.128185356860264221e+00 9.007065585622361370e-01 7.498854176936991678e+01 2.248673364428728505e-02 1.297195109603597740e-01 6.087380416026116903e-02 -8.681637266007946607e-01 4.927562628492915264e-02 7.179871190469185038e-02
2.834548705634046595e+00 9.945001417834027357e-01 7.288198637143560177e+01 2.240313598116418226e-02 1.218620569850724367e-01 4.015353163101497563e-02 -8.307870439812861107e-01 4.069709846319956997e-02 4.688853673114092707e-02
3.163172282736373742e+00 9.839305815596759430e-01 7.629840941185678105e+01 2.238810952795095358e-02 1.253878516804437515e-01 5.030240355740415309e-02 -8.952616567270483827e-01 9.209712136666908799e-02 7.870632560620097196e-02
2.944935256825677250e+00 9.345977925896227223e-01 7.499818600094158683e+01 2.205723026641553952e-02 1.248990939218296292e-01 1.278770697993703021e-02 -8.477199217121391683e-01 6.867319380822575758e-02 6.305675606040270220e-02
2.913415168252748710e+00 9.172270578687178322e-01 7.692304450198007260e+01 2.251345885673676495e-02 1.298483663707979407e-01 3.705197428926244874e-02 -8.997153307504284214e-01 8.928023617630077846e-02 7.148274173972203605e-02
3.112339436964970840e+00 9.551894989478614262e-01 7.592235358584429150e+01 2.208967943968303399e-02 1.295657353312050508e-01 9.265539816242879256e-02 -9.043693753067842955e-01 6.017423374344876147e-02 3.555665254087585908e-02
2.912677480180518419e+00 9.571436584823872495e-01 7.314689623833079679e+01 2.240383729865919049e-02 1.282066505697727621e-01 9.582319958448853869e-02 -8.694926456878693255e-01 1.073882185296382019e-02 2.945571155856988727e-02
3.046480345794412070e+00 9.375792850895283692e-01 7.284956241800959731e+01 2.232763818165528491e-02 1.182364240147166790e-01 8.597894403212567871e-02 -8.346707524199448169e-01 4.502906231766737322e-02 4.412667938354120079e-02
3.177115168416682511e+00 9.643679812302189402e-01 7.061498750255323387e+01 2.206467509716440387e-02 1.126849621394647311e-01 9.863913223043356548e-02 -7.934481122235745865e-01 1.730336816614830298e-02 5.496502359955382500e-02
