logA n_s H0 omega_b omega_cdm m_ncdm tau_reio
3.076850482647107476e+00 9.179663096697898705e-01 6.833342592416613570e+01 2.241645118603005291e-02 1.220455432159025522e-01 9.235357729051214826e-02 7.054861412297558365e-02
3.006084008100415872e+00 9.140911134581098940e-01 6.975867501447910968e+01 2.259728705947176494e-02 1.197717444747235238e-01 1.880132683570978755e-03 4.164671434137014183e-02
3.013143966359232984e+00 9.361366780767119700e-01 6.915729602086308603e+01 2.216982147826744229e-02 1.249062832725840871e-01 8.523344270581812571e-03 1.064768593045329649e-02
3.078928035882490644e+00 9.641501227928980233e-01 6.897373187676411987e+01 2.247272925387179890e-02 1.163791769035461277e-01 8.649104403203299041e-02 3.577196648024923847e-02
2.864888154695253597e+00 9.565905170740401919e-01 6.827966391143493752e+01 2.209920619899942429e-02 1.199931843421593175e-01 9.088293200680006012e-02 5.797400996543012469e-02
3.154580444518380489e+00 9.411801089091191841e-01 6.877812430258563836e+01 2.226800545196840758e-02 1.287160754100324933e-01 7.524304531214016933e-02 5.118531389254956515e-02
3.193029797201211384e+00 9.567618390378641591e-01 6.900665070080506780e+01 2.231663548765317959e-02 1.205670928800994246e-01 7.364224233743755198e-03 6.979693802539931047e-02
2.809540852934078181e+00 9.554858516393323065e-01 6.855751876932620803e+01 2.213048544506661386e-02 1.202853875436925152e-01 6.755908313664611697e-02 2.120797481926439687e-02
3.031798296005806304e+00 9.052954471911178747e-01 6.859587667763486252e+01 2.245389959270938443e-02 1.142858640734588233e-01 3.552827263040519989e-02 4.245517772118609368e-02
3.078387106203108736e+00 9.537059385162021119e-01 6.906157774488669077e+01 2.247387124073635042e-02 1.173432641919972957e-01 5.477435561862700752e-02 6.220615210262157163e-02
3.179362227459644252e+00 9.175494180555513468e-01 6.863387931174578682e+01 2.210565934839806707e-02 1.139126333520732448e-01 2.719375571451997445e-02 2.081778534156604465e-02
2.837705228624334275e+00 9.996272949377452699e-01 6.846681505841500837e+01 2.227859166857932768e-02 1.164946389939721799e-01 5.430570169352771925e-02 7.887510974693963395e-02
3.164472812660809264e+00 9.207327120039408008e-01 6.928513110523873308e+01 2.241799285576086265e-02 1.195355457287859413e-01 8.643770080274862377e-02 6.029363921541876919e-02
3.078387106203108736e+00 9.537059385162021119e-01 6.906157774488669077e+01 2.247387124073635042e-02 1.173432641919972957e-01 5.477435561862700752e-02 6.220615210262157163e-02
3.173814673638638340e+00 9.160051657764615163e-01 6.952281977737007423e+01 2.253443355728434669e-02 1.277302045119301233e-01 2.753355476551781061e-02 2.029294922927724759e-02
2.903170837601698473e+00 9.584515865672019741e-01 6.920394887318259691e+01 2.233065123249293460e-02 1.194668894142460330e-01 4.142667948952713508e-02 3.483497995903266781e-02
3.072493079330675503e+00 9.236027644083968369e-01 6.821089364424639712e+01 2.224862766331314398e-02 1.114597593576760332e-01 7.403642090780004903e-02 2.698925444280713543e-02
2.888773830125638931e+00 9.258789129173781163e-01 6.901238205764579448e+01 2.232595111121625508e-02 1.208794851808666637e-01 5.961484487507815594e-02 2.744065562527196744e-02
3.131464380049580498e+00 9.860029236128038388e-01 6.894801411949472936e+01 2.243211428999509344e-02 1.219164338642225315e-01 8.475010150457079616e-02 2.603446281207339591e-02
2.875374363964894542e+00 9.552705092083404459e-01 6.858083292700456468e+01 2.245638240886827300e-02 1.191521906488069160e-01 2.779607199447473725e-02 4.722609371049749094e-02
