logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio
2.854612473363645542e+00 9.925606867503290465e-01 7.544134789683180031e+01 2.228842969644156610e-02 1.299645904329951585e-01 4.789808130267314557e-02 -9.630527588255906046e-01 3.945475581173316093e-02 5.889730379786958792e-02
3.091773773211634602e+00 9.313495597469289011e-01 6.994227562374912566e+01 2.257484377598361833e-02 1.134119653840217345e-01 9.016149814371593463e-02 -7.989698125968907050e-01 7.663403102982130344e-02 3.352359177853576899e-02
3.122627755734376453e+00 9.970169056775636252e-01 7.199155582108292606e+01 2.210118218418448757e-02 1.284571984708273718e-01 4.495964777632712600e-02 -8.462086261443078072e-01 8.448240125471866147e-02 5.044547936137105948e-02
3.134238274149772074e+00 9.760510547103321555e-01 7.177131027350364434e+01 2.252067528010319800e-02 1.279485288092371553e-01 2.600898402210060842e-02 -8.002014144878868418e-01 7.710677774780284183e-03 1.277472141883068298e-02
2.880523023350711753e+00 9.123777826654241307e-01 7.229311012172968276e+01 2.223375215001885744e-02 1.242367303484726987e-01 5.304181950154120140e-02 -8.603711137493788019e-01 9.512554733906351812e-02 5.613753992879771948e-02
3.025334025121380943e+00 9.020637786969465388e-01 7.423838928016446914e+01 2.238431604126780994e-02 1.249259154616749468e-01 7.283450464034364746e-02 -9.126277874235124710e-01 8.482406409203147035e-02 1.765611159855417361e-02
3.109603133033762568e+00 9.914232811195975437e-01 7.306691310850803234e+01 2.256020710561565390e-02 1.287233866318348019e-01 5.774928989851282890e-02 -8.481844313691775383e-01 5.707222991624908565e-02 1.504969171571536243e-02
2.993294458926388568e+00 9.206600692795064989e-01 6.963989892361506406e+01 2.203738804103322346e-02 1.164291605145862663e-01 2.522123470506565379e-03 -7.528724838618050530e-01 1.263097368183840885e-02 3.875152150135701551e-02
3.044917617064779147e+00 9.088732236843540813e-01 7.175677079765544875e+01 2.209982775379363759e-02 1.218207299423751389e-01 8.751603518890889444e-02 -8.602448470320742668e-01 6.953180602697434098e-02 6.822253781892663460e-02
2.993294458926388568e+00 9.206600692795064989e-01 6.963989892361506406e+01 2.203738804103322346e-02 1.164291605145862663e-01 2.522123470506565379e-03 -7.528724838618050530e-01 1.263097368183840885e-02 3.875152150135701551e-02
2.960182958752154203e+00 9.931407125921276613e-01 7.297123867438455136e+01 2.221154314651517525e-02 1.256979756173474405e-01 8.126620400223877327e-02 -8.906765738349120554e-01 6.572144759155937321e-02 6.482667624538801521e-02
2.890953690307978885e+00 9.821747003538382481e-01 7.273099396680552786e+01 2.254688383667359866e-02 1.224013662019259319e-01 5.160898730404586687e-02 -8.742870277428891335e-01 7.070032797115553824e-02 3.792521617269259404e-02
2.983847308683458710e+00 9.031167924813923165e-01 7.327677156593874486e+01 2.241928674842389932e-02 1.280037376302577967e-01 9.970735958115946318e-02 -8.700645465241250154e-01 3.441643691077119621e-02 7.411288593027710869e-02
