weight logl logA n_s H0 omega_b omega_cdm w0_fld wa_fld tau_reio
0.000000000000000000e+00 -2.311804200713500904e+03 2.994805613604874850e+00 9.011993545883838497e-01 6.038752949052130248e+01 2.232093651554599781e-02 1.159625852970160992e-01 -1.600385270510870983e+00 -6.011003495476976433e-01 2.658420171085910944e-02
0.000000000000000000e+00 -2.300175160547333235e+03 2.956143137488892236e+00 9.567657897832783087e-01 6.121862791925239833e+01 2.201540510548436955e-02 1.266678915315303522e-01 -1.996089971212021696e+00 1.101153033393417857e+00 4.357590028252050773e-02
0.000000000000000000e+00 -2.292877581987658687e+03 3.144409424447565105e+00 9.724556366713591471e-01 7.273486101045406826e+01 2.218515066520902052e-02 1.144531298019099974e-01 -6.214102184731793432e-01 4.075439352306338137e-01 1.627602023318340876e-02
0.000000000000000000e+00 -2.279902125333332151e+03 2.804804476411900893e+00 9.758769945309934135e-01 7.425506189543446567e+01 2.258525435658658223e-02 1.128792588603584474e-01 -1.996412134382744341e+00 -1.943997519538308349e+00 3.823049419254526821e-02
0.000000000000000000e+00 -2.278222005357453781e+03 2.942702300520909198e+00 9.190574816621713827e-01 6.049403378498135453e+01 2.238812534575078741e-02 1.254235160151808415e-01 -1.552101917417369359e+00 -1.228639233127533981e+00 3.938044450282776610e-02
0.000000000000000000e+00 -2.256280986317195129e+03 2.838336352612568003e+00 9.835461452697926710e-01 6.390574558982185494e+01 2.220497198546567477e-02 1.158105538252690581e-01 -1.887766188081177576e+00 -3.624741820738019982e-03 1.271566225588928629e-02
0.000000000000000000e+00 -2.253728337623821517e+03 3.184234871957708712e+00 9.382351787044074243e-01 7.126329969531280994e+01 2.239123558304027470e-02 1.176437554949738284e-01 -1.998607119696200529e+00 -1.646810958150231041e+00 6.519180575617165851e-02
0.000000000000000000e+00 -2.251047056703814178e+03 3.051643426629191413e+00 9.555044897116609093e-01 6.246012599887546912e+01 2.236210780180450039e-02 1.100372411538199924e-01 -1.705291775244532015e+00 -3.018308059933407783e-01 6.967412734681580067e-02
0.000000000000000000e+00 -2.241430717316395658e+03 3.133155848397343402e+00 9.756519679357927854e-01 6.040213173041389183e+01 2.250809243889031683e-02 1.242174417870202802e-01 -1.878743678131072237e+00 1.242702388313704276e+00 2.188295774235112651e-02
0.000000000000000000e+00 -2.234768372620404989e+03 3.133730725223192515e+00 9.138023016851598568e-01 6.255283118073835169e+01 2.238019911289930788e-02 1.220724723256626787e-01 -1.811001978672525325e+00 -1.304037759133462870e-01 3.207288166078708924e-02
0.000000000000000000e+00 -2.222531249701271918e+03 3.026643362447752672e+00 9.915581493182048511e-01 6.233220381010048783e+01 2.204481682676442955e-02 1.286528148365188029e-01 -1.624833205286346338e+00 -1.812610802766028151e+00 5.876668240361476031e-02
0.000000000000000000e+00 -2.196212961086878749e+03 2.883102251677596151e+00 9.458436908943268495e-01 6.593588506439209596e+01 2.243699058186457082e-02 1.160112081203790307e-01 -1.993183006670546931e+00 2.878627561401274626e-01 4.575701399496412414e-02
0.000000000000000000e+00 -2.186861346556769149e+03 3.149541141426451141e+00 9.158920712811399190e-01 6.424215626318434147e+01 2.257556854492352022e-02 1.113845474736585711e-01 -1.858710998912087575e+00 2.820257989047929570e-01 7.768728723700513150e-02
0.000000000000000000e+00 -2.184517501269848253e+03 2.988631964570900301e+00 9.683819854470702149e-01 6.433246427552737146e+01 2.221596592385843491e-02 1.238701475951506648e-01 -1.681402914450785602e+00 -1.805659164225997149e+00 1.833938957974373674e-02
0.000000000000000000e+00 -2.179847328299362744e+03 3.073824713962436839e+00 9.042759180173727263e-01 7.501175999349263179e+01 2.244114246613250485e-02 1.250095520928934112e-01 -6.294148662847232067e-01 2.275173426294574419e-01 4.505481795923767935e-02
0.000000000000000000e+00 -2.173369375944156218e+03 2.998894253263582055e+00 9.762706566724793644e-01 6.155105923064980544e+01 2.241856109305698577e-02 1.247015039989206459e-01 -1.844733661071318531e+00 6.915542000088965580e-01 4.055045406331429098e-02
0.000000000000000000e+00 -2.163448251640179024e+03 2.981599570198818050e+00 9.984301922383107541e-01 7.028651891662286744e+01 2.228809010772799665e-02 1.252158203528093705e-01 -1.996413554772311638e+00 -1.668888867567003498e+00 4.328805217529273913e-02
0.000000000000000000e+00 -2.142967646381396662e+03 2.939402555958628760e+00 9.118319350905219611e-01 6.548303632804967833e+01 2.247508644018366905e-02 1.112954242870665550e-01 -1.632183403175752057e+00 -1.525527998802008511e+00 3.879428865866419579e-02
0.000000000000000000e+00 -2.128616328474789952e+03 3.190065143268631775e+00 9.056112500642076180e-01 7.204162685407368372e+01 2.221537316352958577e-02 1.140122067146330381e-01 -1.903935019532169814e+00 -1.726333135904999594e+00 3.181303519926396983e-02
0.000000000000000000e+00 -2.115222012456553330e+03 3.084193000361612480e+00 9.098756734192454676e-01 7.384706419108954378e+01 2.251168786086109319e-02 1.148942707594949875e-01 -1.499096667157111540e+00 1.644649029482404767e+00 2.876251609877540638e-02
0.000000000000000000e+00 -2.078275958344693663e+03 3.070873815700172482e+00 9.038831146711029385e-01 6.108932055106302528e+01 2.202992370680753251e-02 1.126180402445761675e-01 -1.656897489160238823e+00 2.559509808876994086e-01 6.107461655921283400e-02
0.000000000000000000e+00 -2.074090464875743237e+03 3.173066902896656494e+00 9.048900881586295908e-01 6.264787441103707266e+01 2.250403420524676665e-02 1.164571904118132523e-01 -1.924566726433753594e+00 1.396604822639642141e+00 5.004064792752480756e-02
0.000000000000000000e+00 -2.058426202545254000e+03 3.105610357702451196e+00 9.203621019312916429e-01 7.668647699653155314e+01 2.214795524828909803e-02 1.100417389575089194e-01 -5.316111912377057269e-01 -6.847828235472745995e-01 3.299676541973163568e-02
0.000000000000000000e+00 -2.040798796636568795e+03 2.910008232935209271e+00 9.727927585852361725e-01 7.882796801196175807e+01 2.211432243552723456e-02 1.245932466585428500e-01 -6.407658642084697043e-01 -3.219476619083141422e-01 2.235502912235180079e-02
