weight logl logA n_s H0 omega_b omega_cdm w0_fld wa_fld tau_reio
0.000000000000000000e+00 -2.555115349986638648e+03 5.690907365464759060e-01 2.100839316974499882e-01 1.099470176549268707e-01 6.183800732359194807e-01 7.576551208798610881e-01 1.493795812917230181e-01 2.959629572132749242e-02 2.036368577099558763e-01
0.000000000000000000e+00 -2.540209720323696274e+03 2.678762375331513734e-01 8.579735805151637029e-01 4.622321009727859975e-01 1.799214340751656982e-01 4.129629417949226555e-01 1.209327504470303349e-01 9.982008568261208081e-01 3.466704027126513710e-01
0.000000000000000000e+00 -2.530149255672075014e+03 7.968259406344768703e-02 5.401427493645313271e-01 5.472991742230548518e-02 7.853956730332247727e-01 4.318528720233882900e-02 2.949812755332903436e-03 8.072031063277552709e-01 2.634958685833532765e-02
0.000000000000000000e+00 -2.523264992395660101e+03 3.071785196877345747e-01 4.385951928492535234e-01 2.256040517680190094e-01 1.364357793436340449e-01 2.032786713110650290e-01 1.172831521726092063e-02 3.621900413420113818e-01 7.775440995680094058e-02
0.000000000000000000e+00 -2.496213599293820153e+03 1.211669821983890616e-01 4.368685784824044571e-01 9.856996783287276243e-01 3.599553475746660736e-01 2.657124800909762552e-01 8.907981627396085456e-01 6.593878424059410603e-01 9.289021299207089744e-02
0.000000000000000000e+00 -2.483194340038848168e+03 5.586527487191282892e-01 2.692028464424411904e-01 3.819965813030457014e-02 2.815018479040687360e-02 8.506610336636877268e-02 2.262921732980367473e-01 9.485488334006911826e-01 7.164943468575885044e-01
0.000000000000000000e+00 -2.427731902120014638e+03 5.707582303666492995e-01 5.330731359000939751e-02 8.838769320849870770e-02 1.093022430830288272e-01 3.202103579531053734e-01 5.642270831275304488e-01 8.154749460630444924e-01 4.355439215527909802e-01
0.000000000000000000e+00 -2.412585735548970661e+03 1.985110480200633631e-01 4.603471281645719060e-01 4.888055080331129565e-01 9.087621196102269039e-02 3.787597625865779527e-03 3.225685506237363498e-04 1.547198293798234259e-01 4.216694285650378626e-01
0.000000000000000000e+00 -2.407723764150370698e+03 3.471714805320665898e-01 4.156583019360399200e-01 9.269720966595451639e-01 9.875259835963804411e-01 6.433711821656062924e-01 9.818328791060082494e-01 3.849573977590370344e-01 7.752241670143078522e-02
0.000000000000000000e+00 -2.403681065556032536e+03 8.874797501692810453e-02 9.098944543777919280e-01 4.883871387060512159e-02 5.476651117365251009e-01 9.769926484288008472e-01 4.127431160684602585e-02 6.040503601595936800e-01 1.806594367792435651e-01
0.000000000000000000e+00 -2.393412379906596925e+03 4.525470040468027033e-02 1.284319764734278557e-01 3.198607794585064390e-01 2.534884493756160984e-01 2.870184555673289672e-01 1.378244680646623088e-03 3.227688646539638162e-01 8.351983273881646852e-01
0.000000000000000000e+00 -2.380533511871421979e+03 3.711894329710795359e-01 6.937400751579665403e-01 2.986989327127334004e-01 2.384540473461681520e-01 8.643451722798328740e-01 3.454910298911584299e-02 3.383012591087741772e-02 9.363174740652191463e-01
0.000000000000000000e+00 -2.366059259015051794e+03 4.573551518396549165e-01 4.897069418282157249e-01 1.591674262200928336e-01 7.585847291923011326e-01 5.086175738760041476e-01 2.279909343171606650e-01 1.907343419601137402e-02 1.145292151604713204e-01
0.000000000000000000e+00 -2.343964954737649350e+03 9.108027631818725878e-01 6.898218120201944359e-01 5.633948585024783906e-02 3.456352437538231515e-01 8.296817218997126764e-01 1.662603552375159222e-01 3.439307118066146085e-01 3.608981020305358500e-01
0.000000000000000000e+00 -2.328947451097230896e+03 2.606956407720228963e-02 4.478662513030738923e-01 7.635203164665563813e-01 9.049644187069176837e-01 4.824887259686831964e-01 9.234500481760901103e-01 5.487256505873814305e-01 5.101090583043038640e-01
0.000000000000000000e+00 -2.311804200713500904e+03 4.870140340121867917e-01 1.199354588383816367e-02 1.937647452606505727e-02 5.348941925766663719e-01 2.981292648508050425e-01 2.664098196594193446e-01 3.497249126130755892e-01 2.369171672979872856e-01
0.000000000000000000e+00 -2.300175160547333235e+03 3.903578437222310349e-01 5.676578978327831981e-01 6.093139596261987201e-02 2.567517580728750914e-02 8.333945765765176095e-01 2.606685858652202370e-03 7.752882583483544643e-01 4.796557183217214915e-01
0.000000000000000000e+00 -2.292877581987658687e+03 8.610235611189125393e-01 7.245563667135913599e-01 6.367430505227030801e-01 3.085844420150359868e-01 2.226564900955000370e-01 9.190598543512137342e-01 6.018859838076584534e-01 8.965743190262009943e-02
0.000000000000000000e+00 -2.279902125333332151e+03 1.201119102975212183e-02 7.587699453099342461e-01 7.127530947717232168e-01 9.754239276443052997e-01 1.439629430179223402e-01 2.391910411503772593e-03 1.400062011542291263e-02 4.032927741792180498e-01
0.000000000000000000e+00 -2.278222005357453781e+03 3.567557513022727722e-01 1.905748166217134942e-01 2.470168924906779306e-02 6.468755762513129781e-01 7.711758007590419073e-01 2.985987217217537237e-01 1.928401917181165048e-01 4.197206357546823252e-01
0.000000000000000000e+00 -2.256280986317195129e+03 9.584088153142089617e-02 8.354614526979271538e-01 1.952872794910927023e-01 3.416199757761259059e-01 2.905276912634526809e-01 7.482254127921494913e-02 4.990938145448154950e-01 3.879517508413266036e-02
0.000000000000000000e+00 -2.253728337623821517e+03 9.605871798942716699e-01 3.823517870440740207e-01 5.631649847656408081e-01 6.520593050671256163e-01 3.821877747486914778e-01 9.285868691996101987e-04 8.829726046244223969e-02 7.884543679453094311e-01
0.000000000000000000e+00 -2.251047056703814178e+03 6.291085665729785337e-01 5.550448971166086487e-01 1.230062999437735449e-01 6.035130030075038787e-01 1.862057690999896487e-03 1.964721498369786934e-01 4.245422985016648054e-01 8.524875335259398668e-01
0.000000000000000000e+00 -2.241430717316395658e+03 8.328896209933583927e-01 7.565196793579277434e-01 2.010658652069474694e-02 8.468207314838653854e-01 7.108720893510138694e-01 8.083754791261843486e-02 8.106755970784260690e-01 1.697565391764446208e-01
0.000000000000000000e+00 -2.234768372620404989e+03 8.343268130579806208e-01 1.380230168515987899e-01 1.276415590369175401e-01 6.336651881655149809e-01 6.036236162831337682e-01 1.259986808849831164e-01 4.673990560216634282e-01 3.153268808683870050e-01
0.000000000000000000e+00 -2.222531249701271918e+03 5.666084061193819021e-01 9.155814931820486224e-01 1.166101905050244136e-01 7.469471127405269417e-02 9.326407418259407001e-01 2.501111964757690709e-01 4.684729930849296231e-02 6.966668914802107704e-01
0.000000000000000000e+00 -2.196212961086878749e+03 2.077556291939907096e-01 4.584369089432683841e-01 2.967942532196047312e-01 7.283176364409554848e-01 3.005604060189516202e-01 4.544662219635453582e-03 5.719656890350318657e-01 5.108144856423445512e-01
0.000000000000000000e+00 -2.186861346556769149e+03 8.738528535661271857e-01 1.589207128113994116e-01 2.121078131592168958e-01 9.592809082058681991e-01 6.922737368292852800e-02 9.419266739194165350e-02 5.705064497261982392e-01 9.669612462429304500e-01
0.000000000000000000e+00 -2.184517501269848253e+03 4.715799114272504200e-01 6.838198544707022597e-01 2.166232137763685062e-01 3.599432064307273027e-01 6.935073797575331822e-01 2.123980570328096729e-01 4.858520894350071284e-02 1.191341368534819534e-01
0.000000000000000000e+00 -2.179847328299362744e+03 6.845617849060924298e-01 4.275918017372715152e-02 7.505879996746318561e-01 7.352374435541743081e-01 7.504776046446706150e-01 9.137234224768512325e-01 5.568793356573643605e-01 5.007831137033953439e-01
0.000000000000000000e+00 -2.173369375944156218e+03 4.972356331589552481e-01 7.627065667247933112e-01 7.755296153249036095e-02 6.976018217616456463e-01 7.350751999460322095e-01 1.035108926191209422e-01 6.728885500022241395e-01 4.364350580473469465e-01
