# logA n_s H0 omega_b omega_cdm m_ncdm tau_reio weight loglikelihood
2.54257334e+00 1.06774516e+00 7.41965312e+01 4.57341633e-02 7.32943563e-01 1.06988376e+00 3.35562990e-01 0.00000000e+00 -1.00000000e+300
2.73922350e+00 1.00716882e+00 7.99809994e+01 9.63829157e-02 7.88697219e-01 1.88672677e+00 6.47055050e-01 0.00000000e+00 -1.00000000e+300
2.65134634e+00 8.91826689e-01 2.64002004e+01 8.85342533e-02 3.92956795e-01 4.58750663e-02 3.43652150e-01 0.00000000e+00 -1.00000000e+300
1.73085045e+00 9.59189404e-01 4.44201690e+01 4.15713890e-02 4.53420584e-01 1.49274075e+00 6.68785873e-02 0.00000000e+00 -1.00000000e+300
2.56450605e+00 1.04007430e+00 6.19681759e+01 2.08878230e-02 7.24268061e-01 1.12781051e+00 6.50962799e-01 0.00000000e+00 -1.00000000e+300
2.27007539e+00 1.06049326e+00 2.66209880e+01 8.37422907e-02 8.17937581e-01 1.74459627e+00 4.29862196e-02 0.00000000e+00 -1.00000000e+300
2.51382506e+00 9.20836598e-01 8.66685477e+01 3.48920729e-02 6.81511157e-01 3.32607802e-01 6.80660029e-01 0.00000000e+00 -1.00000000e+300
1.61653596e+00 1.05408941e+00 9.95942310e+01 6.55829215e-02 6.47754250e-01 1.75019931e+00 7.48598318e-01 0.00000000e+00 -1.00000000e+300
2.05094627e+00 1.19546058e+00 6.80743742e+01 6.26908357e-02 1.70899137e-01 1.89834653e+00 1.09356913e-01 0.00000000e+00 -1.00000000e+300
3.79968197e+00 9.54463921e-01 5.67203118e+01 9.76704389e-02 8.83072128e-01 1.99868497e+00 5.62962962e-01 0.00000000e+00 -1.00000000e+300
1.61563811e+00 1.08995212e+00 7.39828464e+01 2.39150304e-02 7.04205485e-01 1.68492588e+00 1.47100862e-01 0.00000000e+00 -1.00000000e+300
2.76588642e+00 9.59402732e-01 8.88904861e+01 9.74931792e-02 6.34625473e-01 1.86893992e+00 2.05789450e-01 0.00000000e+00 -1.00000000e+300
2.46568552e+00 9.45759795e-01 6.56889732e+01 5.95220821e-03 3.43629204e-01 7.40723216e-01 4.01084815e-01 0.00000000e+00 -1.00000000e+300
1.98089434e+00 1.11873666e+00 3.14294251e+01 5.57556620e-02 6.90357221e-02 1.32664804e+00 1.08350793e-01 0.00000000e+00 -1.00000000e+300
3.23637158e+00 1.12890920e+00 6.20127313e+01 9.82641753e-03 3.26851620e-01 3.29363974e-01 4.12163036e-01 0.00000000e+00 -1.00000000e+300
3.15036535e+00 9.00598286e-01 9.50047169e+01 2.11371394e-02 6.13650964e-01 1.56669334e+00 7.95592115e-01 0.00000000e+00 -1.00000000e+300
2.65201882e+00 8.02779505e-01 2.80807682e+01 5.41839504e-02 3.21616266e-01 1.41846511e+00 7.24118041e-01 0.00000000e+00 -1.00000000e+300
3.82753161e+00 1.08341071e+00 3.81059027e+01 6.40241350e-02 1.45118841e-01 1.63277717e+00 1.69769890e-01 0.00000000e+00 -1.00000000e+300
3.33953780e+00 1.14976864e+00 2.86733975e+01 5.77081685e-02 8.76001774e-01 1.41951012e+00 3.43379546e-01 0.00000000e+00 -1.00000000e+300
2.88548345e+00 1.09217935e+00 4.11237668e+01 5.72118610e-03 1.19362475e-01 1.23309525e+00 5.65465616e-01 0.00000000e+00 -1.00000000e+300
