# Matter power spectrum P(k) at redshift z=0
# for k=9.45519e-06 to 4.88563 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.760184187441e-02       5.223792157546e+11 
       4.794402530564e-02       5.257878396313e+11 
       4.829703465914e-02       5.292207611480e+11 
       4.866174031437e-02       5.326842574607e+11 
       4.903911453051e-02       5.361792232882e+11 
       4.943024722153e-02       5.397050353404e+11 
       4.983636475670e-02       5.432592583951e+11 
       5.025885247130e-02       5.468504877410e+11 
       5.069928174835e-02       5.504736854954e+11 
       5.115944275527e-02       5.541319254334e+11 
       5.164138420476e-02       5.578177820660e+11 
       5.214746186990e-02       5.615365304802e+11 
       5.268039803817e-02       5.652769557786e+11 
       5.324335465133e-02       5.690366442481e+11 
       5.384002355698e-02       5.728016184136e+11 
       5.447473807519e-02       5.765591915697e+11 
       5.515261089300e-02       5.802846233124e+11 
       5.587970395282e-02       5.839531547615e+11 
       5.666323607834e-02       5.875104294785e+11 
       5.751183269472e-02       5.908937710092e+11 
       5.843581738909e-02       5.940094292024e+11 
       5.944753390144e-02       5.967223068649e+11 
       6.056166359273e-02       5.988425360537e+11 
       6.179545829151e-02       6.001006062777e+11 
       6.316873018132e-02       6.001197005395e+11 
       6.470332358353e-02       5.983804418084e+11 
       6.642166498666e-02       5.942028306274e+11 
       6.834396066030e-02       5.867541529308e+11 
       7.048393353693e-02       5.751172987120e+11 
       7.284392528363e-02       5.584751440721e+11 
       7.541149400343e-02       5.363729873188e+11 
       7.816002612784e-02       5.089778491117e+11 
       8.105399172721e-02       4.771810031464e+11 
       8.405637475491e-02       4.424573604998e+11 
       8.713467545111e-02       4.065482512123e+11 
       9.026366134696e-02       3.711290607299e+11 
       9.342536268032e-02       3.375531049861e+11 
       9.660770782281e-02       3.067387455571e+11 
       9.980289105257e-02       2.791556110003e+11 
       1.030059862409e-01       2.548911627202e+11 
       1.062139313829e-01       2.337407343251e+11 
       1.094248408777e-01       2.153137919399e+11 
       1.126375601123e-01       1.991217934921e+11 
       1.158513844389e-01       1.846538715306e+11 
       1.190658846190e-01       1.714379812197e+11 
       1.222807994081e-01       1.590746980735e+11 
       1.254959698294e-01       1.472689218104e+11 
       1.287112990914e-01       1.358359195991e+11 
       1.319267281942e-01       1.246991361380e+11 
       1.351422211020e-01       1.138707706690e+11 
       1.383577557351e-01       1.034277063106e+11 
       1.415733185008e-01       9.348118716957e+10 
       1.447889009719e-01       8.414854783853e+10 
       1.480044978698e-01       7.553154641297e+10 
       1.512201058398e-01       6.770037036668e+10 
       1.544357227064e-01       6.068760528214e+10 
       1.576513470203e-01       5.448740350779e+10 
       1.608669777831e-01       4.906014674204e+10 
       1.640826142787e-01       4.434093992531e+10 
       1.672982559705e-01       4.024753111811e+10 
       1.705139024383e-01       3.668985021841e+10 
       1.737295533393e-01       3.357749928893e+10 
       1.769452083841e-01       3.082503041737e+10 
       1.801608673210e-01       2.835754743212e+10 
       1.833765299265e-01       2.611396880784e+10 
       1.865921959990e-01       2.404802496670e+10 
       1.898078653547e-01       2.211794943207e+10 
       1.930235378243e-01       2.030003920403e+10 
       1.962392132511e-01       1.858181715540e+10 
       1.994548914896e-01       1.695968134621e+10 
       2.026705724040e-01       1.543609250172e+10 
       2.058862558674e-01       1.401595937807e+10 
       2.091019417612e-01       1.270449626060e+10 
       2.123176299737e-01       1.150494562845e+10 
       2.155333204003e-01       1.041770812827e+10 
       2.187490129427e-01       9.439881902541e+09 
       2.219647075081e-01       8.566269811086e+09 
       2.251804040093e-01       7.789328183665e+09 
       2.283961023638e-01       7.100371617235e+09 
       2.316118024940e-01       6.489734335569e+09 
       2.348275043264e-01       5.947543118819e+09 
       2.380432077915e-01       5.463986102090e+09 
       2.412589128237e-01       5.029837417245e+09 
       2.444746193606e-01       4.636802335719e+09 
       2.476903273434e-01       4.277745997503e+09 
       2.509060367160e-01       3.947022268831e+09 
       2.541217474254e-01       3.640317732393e+09 
       2.573374594212e-01       3.354587823021e+09 
       2.605531726553e-01       3.087791284122e+09 
       2.637688870823e-01       2.838609284286e+09 
       2.669846026588e-01       2.606274328066e+09 
       2.702003193435e-01       2.390324905692e+09 
       2.734160370971e-01       2.190456261195e+09 
       2.766317558821e-01       2.006407994468e+09 
       2.798474756627e-01       1.837840031982e+09 
       2.830631964048e-01       1.684237814607e+09 
       2.862789180759e-01       1.544870766948e+09 
       2.894946406447e-01       1.418817284361e+09 
       2.927103640816e-01       1.304991160101e+09 
       2.959260883581e-01       1.202163017574e+09 
       2.991418134470e-01       1.109136526226e+09 
       3.023575393222e-01       1.024719088272e+09 
       3.055732659587e-01       9.478422950025e+08 
       3.087889933327e-01       8.775304598858e+08 
       3.120047214213e-01       8.129490675979e+08 
       3.152204502024e-01       7.533710146257e+08 
       3.184361796550e-01       6.981904140248e+08 
       3.216519097588e-01       6.469271025347e+08 
       3.248676404944e-01       5.992005855097e+08 
