# logA n_s H0 omega_b omega_cdm tau_reio
2.03386185e+00 8.42751780e-01 7.35092591e+01 2.86619632e-02 1.36858283e-01 3.62471730e-01
1.86972476e+00 1.09672389e+00 6.42820592e+01 1.74301770e-02 1.06062377e-01 4.56074032e-01
2.96465516e+00 1.14161778e+00 7.40547759e+01 2.89885260e-02 1.35244704e-01 1.69927107e-01
2.11935597e+00 1.16853174e+00 7.57738193e+01 3.10359328e-02 1.39645865e-01 2.31969352e-01
2.12635322e+00 1.11391732e+00 6.21795165e+01 1.54811331e-02 1.01586016e-01 4.94353906e-01
3.59339523e+00 1.16829383e+00 7.47799869e+01 3.00725358e-02 1.33629517e-01 6.20051963e-01
1.98901853e+00 1.18763716e+00 7.48951002e+01 2.95553309e-02 1.35820664e-01 4.00220696e-01
2.27785194e+00 9.41108587e-01 7.29989790e+01 2.77903679e-02 1.30497860e-01 1.16704015e-01
3.15151522e+00 8.09832262e-01 7.46025174e+01 2.89103763e-02 1.37299588e-01 2.12346568e-01
1.79948226e+00 1.01774590e+00 7.27536477e+01 2.63835715e-02 1.32086482e-01 3.50192980e-01
1.79122095e+00 1.00572564e+00 6.39946749e+01 1.66549699e-02 1.05731999e-01 1.95234286e-01
3.05767953e+00 1.00262822e+00 7.49896009e+01 3.05009023e-02 1.41056603e-01 3.78123792e-01
2.55941512e+00 1.11931600e+00 7.64954358e+01 3.21743918e-02 1.42858160e-01 4.78656136e-01
2.62767169e+00 8.34396694e-01 7.35171603e+01 2.90523255e-02 1.36189128e-01 6.39383109e-01
3.48521036e+00 1.14033320e+00 5.51999189e+01 7.36681165e-03 8.34157418e-02 1.91999957e-01
3.85947787e+00 9.89051489e-01 7.29901485e+01 2.73803735e-02 1.29282253e-01 7.96259713e-02
3.37548979e+00 8.96275384e-01 5.85561983e+01 1.02931905e-02 9.50078179e-02 1.74370315e-01
3.31761397e+00 9.35055007e-01 6.81423600e+01 2.11721892e-02 1.16021106e-01 4.36858947e-02
3.58876952e+00 1.15103892e+00 6.96119832e+01 2.35032652e-02 1.25266108e-01 2.95643620e-01
3.59658468e+00 1.11246141e+00 6.41971595e+01 1.75013010e-02 1.04997944e-01 5.47302383e-01
3.11705602e+00 1.16165934e+00 6.52035422e+01 1.86683285e-02 1.09302711e-01 6.15760719e-01
1.89051626e+00 1.03717953e+00 6.08814842e+01 1.29970739e-02 9.14895603e-02 4.69272669e-01
1.83675689e+00 1.12927088e+00 7.02999605e+01 2.48583721e-02 1.22417540e-01 3.20556738e-01
1.92735423e+00 9.22420085e-01 6.62415681e+01 1.91543359e-02 1.09127573e-01 1.71606256e-01
2.78825433e+00 8.86243844e-01 7.72452301e+01 3.21146832e-02 1.50048582e-01 4.18073026e-01
2.24936096e+00 1.15713368e+00 7.71454503e+01 3.24599754e-02 1.40663901e-01 6.44939527e-01
2.24565663e+00 1.16775237e+00 5.58288426e+01 7.41139438e-03 8.37782062e-02 7.28955063e-02
2.89019712e+00 8.88736977e-01 7.25187677e+01 2.75994876e-02 1.22607362e-01 5.87603926e-02
