# logA n_s H0 omega_b omega_cdm tau_reio weight loglikelihood
2.52076568e+00 1.15780942e+00 9.67643595e+01 3.96001885e-02 2.59497871e-01 3.28768376e-01 0.00000000e+00 -1.00000000e+300
3.16172463e+00 1.10737710e+00 7.86255208e+01 4.05399988e-02 2.28404094e-01 3.55690780e-01 0.00000000e+00 -1.00000000e+300
3.26548047e+00 8.48864165e-01 3.10889810e+01 2.72851377e-02 3.42606984e-01 3.79141241e-01 0.00000000e+00 -1.00000000e+300
2.34961047e+00 9.83971124e-01 2.56223464e+01 1.57625081e-02 7.39795011e-01 3.32605596e-01 0.00000000e+00 -1.00000000e+300
2.04482264e+00 1.01379809e+00 7.71305933e+01 5.58858157e-02 7.96166677e-01 4.32123574e-01 0.00000000e+00 -1.00000000e+300
2.05096966e+00 9.26928219e-01 8.29547897e+01 6.12849548e-02 7.61582626e-01 1.99085538e-01 0.00000000e+00 -1.00000000e+300
2.72850102e+00 8.90759870e-01 4.36451087e+01 4.92790435e-02 3.97200016e-01 4.64820501e-01 0.00000000e+00 -1.00000000e+300
3.82275187e+00 1.11750768e+00 4.64360887e+01 6.06836349e-02 3.86813908e-01 5.74857408e-01 0.00000000e+00 -1.00000000e+300
2.56150677e+00 9.53749776e-01 4.64732164e+01 1.25280941e-02 6.78493898e-01 1.31473855e-01 0.00000000e+00 -1.00000000e+300
3.83765581e+00 1.06289578e+00 4.98051628e+01 6.92442303e-02 6.90462634e-01 5.23382892e-01 0.00000000e+00 -1.00000000e+300
2.20161822e+00 1.05175093e+00 8.65280698e+01 6.74970702e-02 6.37478317e-01 7.07452292e-01 0.00000000e+00 -1.00000000e+300
1.84915025e+00 9.63293770e-01 8.25484940e+01 2.35446074e-02 6.45433189e-01 9.53319707e-02 0.00000000e+00 -1.00000000e+300
3.19943669e+00 1.11555746e+00 3.13834574e+01 8.13021227e-03 4.85532375e-01 3.18188845e-01 0.00000000e+00 -1.00000000e+300
2.48163863e+00 8.70934710e-01 5.36388146e+01 3.30324836e-02 4.36776018e-01 1.89094825e-01 0.00000000e+00 -1.00000000e+300
2.70552191e+00 9.80811492e-01 6.46734163e+01 7.20618079e-02 1.23501609e-01 6.88353912e-01 0.00000000e+00 -1.00000000e+300
3.45727559e+00 9.09013759e-01 4.31151254e+01 3.78405356e-02 1.81322309e-01 4.39389092e-01 0.00000000e+00 -1.00000000e+300
2.45787657e+00 9.88732648e-01 7.68798057e+01 6.03509139e-02 9.65812187e-01 5.38310004e-01 0.00000000e+00 -1.00000000e+300
3.59598005e+00 8.45365537e-01 9.15715154e+01 3.95515623e-02 2.51357497e-01 4.50915131e-01 0.00000000e+00 -1.00000000e+300
3.29558040e+00 9.95288472e-01 3.00839343e+01 9.41218519e-03 2.72647982e-02 4.54243631e-01 0.00000000e+00 -1.00000000e+300
2.50770458e+00 1.00381368e+00 7.95822220e+01 9.56757418e-02 5.43210104e-01 5.45400113e-01 0.00000000e+00 -1.00000000e+300
3.73119706e+00 1.06491706e+00 4.20147010e+01 6.32290138e-02 1.97398008e-01 5.03129864e-01 0.00000000e+00 -1.00000000e+300
