logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio
2.857087580448481212e+00 9.460928704003298551e-01 7.152278360227541043e+01 2.228531065768148828e-02 1.121484050109152197e-01 2.187175057171955248e-02 -9.664398275857901677e-01 6.678467218084436219e-01 3.231548345424124780e-02
3.114216346452823192e+00 9.174818654319698563e-01 7.502881461151334008e+01 2.226826738474526821e-02 1.226829873656268000e-01 9.288528944308549473e-02 -1.120976641099869386e+00 7.987447387836312807e-01 4.088197376748869960e-02
3.120292303706201142e+00 9.899736088079065244e-01 7.247407940967738682e+01 2.231410584592091392e-02 1.250567322711360063e-01 1.967287469802228225e-02 -9.233570000011455114e-01 2.373058837001615906e-01 5.422144693962269862e-02
2.844425983879699249e+00 9.002268923695376790e-01 7.322965245008718682e+01 2.229843985226973371e-02 1.156111593624551820e-01 1.598078126989590717e-02 -1.035082879331436612e+00 6.493594392428496676e-01 7.827870099234270074e-02
3.077809154971779648e+00 9.592276371490138231e-01 7.201203274914513486e+01 2.246642027083093837e-02 1.172611660407271300e-01 7.095180788341796940e-02 -9.286447458634530250e-01 3.892518982875299294e-01 4.344458247167635317e-02
2.937165972740364062e+00 9.011029928632774411e-01 7.499353790350529891e+01 2.234903035445466243e-02 1.176871861305867073e-01 6.357089548436010984e-02 -1.148672622088682038e+00 9.280249602827752575e-01 1.022699404417554310e-02
3.129576731664210243e+00 9.694014268934303402e-01 7.343600317859591087e+01 2.218141118855828514e-02 1.228981576513015067e-01 2.048481806811678491e-02 -9.565358108968169404e-01 3.945893825063668814e-01 7.726558078379971994e-02
3.148716402539599279e+00 9.728031981210711887e-01 7.167422071141507445e+01 2.209384268108691846e-02 1.106255210044481824e-01 1.293962641774593168e-03 -9.542279992585078752e-01 5.163893847479386068e-01 1.100486622948784049e-02
3.126997203987131435e+00 9.254161361048823808e-01 7.426455734319121404e+01 2.245822954180275513e-02 1.239391300999913431e-01 8.647612777018130747e-02 -1.022625485458343420e+00 4.958805725503276918e-01 2.631450606660229452e-02
3.101435537607765802e+00 9.704503067263614557e-01 7.736834814350126521e+01 2.231011917392760821e-02 1.126182004446861229e-01 9.858696965013434566e-02 -1.214623144348659256e+00 1.216347294034024529e+00 6.991990980655542198e-02
3.053322380030372152e+00 9.099818427094226170e-01 7.209545110442195437e+01 2.247817468886181835e-02 1.218832384682863590e-01 2.612086823667258972e-03 -9.489814530055322717e-01 4.873996264027660175e-01 5.153422202393238144e-02
2.907680421081632716e+00 9.680525093867020647e-01 7.312225040311955127e+01 2.223342787939695114e-02 1.108359667041728114e-01 9.117684823461952304e-02 -1.111636170742134055e+00 9.204633764372096572e-01 5.674726434869011710e-02
3.060792982327837919e+00 9.530138095514472107e-01 7.401135017615415279e+01 2.256391745010521976e-02 1.139927455282826602e-01 7.913444211969869468e-02 -1.116230988918307521e+00 9.911643294074079513e-01 3.038401500361775920e-02
3.113998332004322744e+00 9.639596202275536596e-01 7.118546952932116767e+01 2.231328390720014807e-02 1.127683090468494104e-01 2.691263359372453399e-03 -9.131070953829156789e-01 4.331147261902503764e-01 1.611749510105479552e-02
3.039664400516241649e+00 9.825869980569621465e-01 7.845013943524895694e+01 2.240391920119375047e-02 1.298812542133337133e-01 1.339134288835863718e-02 -1.122130995837414602e+00 4.440644501468806737e-01 4.997331069524840741e-02
2.896765120923131764e+00 9.730507799750783837e-01 7.724541136163568922e+01 2.200736422802577683e-02 1.214523555359684620e-01 6.695194110443819513e-02 -1.250392267738443808e+00 1.029544073414757843e+00 5.149564979100075546e-02
3.119792574734504775e+00 9.009876555732309056e-01 7.461913140955843460e+01 2.210441478377302149e-02 1.168119394647405968e-01 6.437059455430287069e-02 -1.138206216905371271e+00 7.601247457917894579e-01 5.204251075766998941e-02
3.026240770560412852e+00 9.634349191672033630e-01 7.697269175417338261e+01 2.237802438665588423e-02 1.289307306287011956e-01 5.103420555219816829e-02 -1.147581900994874671e+00 6.514962401629085242e-01 1.466016455793830824e-02
